x_value,total_1,total_2
0,1000,1000
1,1002,1004
2,1007,999
3,1004,997
4,1003,992
5,1010,997
6,1018,1002
7,1023,1007
8,1027,1010
9,1033,1007
10,1039,1013
11,1034,1009
12,1031,1006
13,1037,1002
14,1033,998
15,1032,1000
16,1027,995
17,1031,993
18,1038,999
19,1032,1000
20,1027,1004
21,1029,1010
22,1032,1009
23,1031,1011
24,1037,1008
25,1044,1004
26,1049,1008
27,1045,1006
28,1048,1007
29,1053,1012
30,1048,1014
31,1046,1020
32,1044,1015
33,1043,1017
34,1040,1016
35,1038,1019
36,1033,1025
37,1029,1027
38,1026,1023
39,1025,1021
40,1032,1021
41,1033,1022
42,1036,1020
43,1042,1016
44,1047,1020
45,1053,1024
46,1059,1020
47,1056,1018
48,1060,1016
49,1063,1018
50,1068,1016
51,1070,1011
52,1068,1010
53,1071,1007
54,1065,1005
55,1060,1007
56,1059,1011
57,1059,1011
58,1061,1014
59,1068,1011
60,1071,1010
61,1079,1011
62,1079,1016
63,1078,1016
64,1078,1013
65,1080,1018
66,1078,1015
67,1085,1018
68,1083,1013
69,1085,1017
70,1084,1013
71,1091,1013
72,1085,1008
73,1093,1003
74,1091,1002
75,1097,999
76,1098,996
77,1095,996
78,1099,999
79,1097,994
80,1092,994
81,1099,1000
82,1105,1000
83,1108,995
84,1105,990
85,1109,996
86,1115,1002
87,1119,997
88,1113,1000
89,1120,1000
90,1117,998
91,1119,998
92,1126,1003
93,1131,1007
94,1128,1007
95,1124,1009
96,1127,1007
97,1132,1010
98,1139,1016
99,1144,1016
100,1149,1021
101,1152,1025
102,1153,1026
103,1161,1032
104,1161,1030
105,1166,1032
106,1164,1034
107,1164,1040
108,1159,1038
109,1154,1041
110,1156,1043
111,1161,1039
112,1155,1043
113,1152,1043
114,1159,1047
115,1155,1053
116,1156,1050
117,1153,1051
118,1157,1056
119,1158,1052
120,1153,1049
121,1154,1044
122,1158,1044
123,1166,1047
124,1160,1049
125,1167,1054
126,1175,1059
127,1173,1056
128,1177,1060
129,1172,1063
130,1173,1061
131,1168,1060
132,1175,1065
133,1173,1065
134,1167,1069
135,1167,1073
136,1162,1073
137,1167,1073
138,1175,1079
139,1178,1082
140,1184,1088
141,1189,1090
142,1190,1087
143,1190,1086
144,1197,1089
145,1197,1088
146,1199,1092
147,1197,1092
148,1196,1096
149,1201,1096
150,1207,1099
151,1206,1096
152,1208,1092
153,1216,1090
154,1213,1090
155,1216,1095
156,1220,1098
157,1216,1102
158,1220,1107
159,1224,1102
160,1224,1101
161,1219,1103
162,1221,1106
163,1216,1102
164,1216,1106
165,1218,1103
166,1221,1101
167,1218,1106
168,1219,1109
169,1215,1107
170,1217,1105
171,1219,1101
172,1218,1103
173,1218,1102
174,1218,1107
175,1219,1111
176,1224,1109
177,1228,1106
178,1236,1106
179,1232,1104
180,1227,1110
181,1225,1116
182,1231,1122
183,1228,1120
184,1225,1117
185,1232,1114
186,1234,1114
187,1242,1117
188,1249,1117
189,1251,1113
190,1258,1112
191,1262,1117
192,1267,1112
193,1269,1113
